Ticker,Metric,CoveragePct,Taxonomy,Concept,UnitCount,EntryCount
V,EPS,48.78,us-gaap,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,1,142
V,EPS,48.78,us-gaap,RetainedEarningsAccumulatedDeficit,1,136
V,EPS,48.78,us-gaap,PropertyPlantAndEquipmentNet,1,134
V,EPS,48.78,us-gaap,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,1,131
V,EPS,48.78,us-gaap,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodBeforeTax,1,130
V,EPS,48.78,us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,1,126
V,EPS,48.78,us-gaap,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,1,104
V,EPS,48.78,us-gaap,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,1,96
V,EPS,48.78,us-gaap,CommonStockDividendsPerShareDeclared,1,89
V,TotalDebt,48.78,us-gaap,LongTermDebtNoncurrent,1,87
V,TotalDebt,48.78,us-gaap,LongTermDebtCurrent,1,79
V,TotalDebt,48.78,us-gaap,EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentAnnualAmount,1,76
V,TotalDebt,48.78,us-gaap,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,1,60
V,TotalDebt,48.78,us-gaap,AvailableForSaleSecuritiesDebtSecurities,1,53
V,TotalDebt,48.78,us-gaap,EquitySecuritiesWithoutReadilyDeterminableFairValueDownwardPriceAdjustmentAnnualAmount,1,44
V,TotalDebt,48.78,us-gaap,LongTermDebt,1,43
V,TotalDebt,48.78,us-gaap,DebtLongtermAndShorttermCombinedAmount,1,38
V,TotalDebt,48.78,us-gaap,AvailableForSaleDebtSecuritiesAmortizedCostBasis,1,36
V,TotalDebt,48.78,us-gaap,EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentCumulativeAmount,1,31
V,TotalDebt,48.78,us-gaap,EquitySecuritiesWithoutReadilyDeterminableFairValueAmount,1,30
V,TotalDebt,48.78,us-gaap,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,1,29
V,TotalDebt,48.78,us-gaap,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,1,29
V,TotalDebt,48.78,us-gaap,DebtInstrumentCarryingAmount,1,21
V,TotalDebt,48.78,us-gaap,DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease,1,18
V,TotalDebt,48.78,us-gaap,DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets,1,16
V,TotalDebt,48.78,us-gaap,EquitySecuritiesWithoutReadilyDeterminableFairValueDownwardPriceAdjustmentCumulativeAmount,1,15
V,TotalDebt,48.78,us-gaap,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,1,14
V,TotalDebt,48.78,us-gaap,DeferredTaxAssetsTaxCreditCarryforwards,1,12
V,TotalDebt,48.78,us-gaap,RevenueRemainingPerformanceObligation,1,12
JNJ,Revenue,95.45,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1,240
JNJ,Revenue,95.45,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1,238
JNJ,Revenue,95.45,us-gaap,InvestmentIncomeInterest,1,219
JNJ,Revenue,95.45,us-gaap,InterestExpense,1,195
JNJ,Revenue,95.45,us-gaap,SalesRevenueGoodsNet,1,185
JNJ,Revenue,95.45,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,122
JNJ,Revenue,95.45,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1,67
