Ticker,Company_name,CUSIP,source,Market_Cap
CHRD,Chord Energy Corporation,674215207,sp400_row_400.csv,7020021248.0
CHRW,C.H. ROBINSON WORLDWIDE INC,12541W209,sp500_row_504.csv,20093181952.0
CHTR,CHARTER COMMUNICATIONS INC A,16119P108,sp500_row_504.csv,28235831296.0
CHWY,Chewy Inc. Class A,16679L109,sp400_row_400.csv,10570012672.0
CI,THE CIGNA GROUP,125523100,sp500_row_504.csv,71373348864.0
CIEN,CIENA CORP,171779309,sp500_row_504.csv,47726940160.0
CINF,CINCINNATI FINANCIAL CORP,172062101,sp500_row_504.csv,25558953984.0
CL,COLGATE PALMOLIVE CO,194162103,"dow_row_179.csv, sp500_row_504.csv",71209525248.0
CLF,Cleveland-Cliffs Inc,185899101,sp400_row_400.csv,4825503744.0
CLH,Clean Harbors Inc.,184496107,sp400_row_400.csv,15438059520.0
CLSK,CLEANSPARK INC,18452B209,sp600_row_341.csv,2496148480.0
CLX,CLOROX COMPANY,189054109,sp500_row_504.csv,13500787712.0
CMC,Commercial Metals Company,201723103,sp400_row_400.csv,6780587520.0
CMCSA,COMCAST CORP CLASS A,20030N101,sp500_row_504.csv,109899857920.0
CME,CME GROUP INC,12572Q105,sp500_row_504.csv,111952166912.0
CMG,CHIPOTLE MEXICAN GRILL INC,169656105,sp500_row_504.csv,43000479744.0
CMI,CUMMINS INC,231021106,sp500_row_504.csv,74016620544.0
CMS,CMS ENERGY CORP,125896100,sp500_row_504.csv,23848738816.0
CNC,CENTENE CORP,15135B101,sp500_row_504.csv,16941511680.0
CNH,CNH Industrial NV,N20944109,sp400_row_400.csv,13216080896.0
CNK,CINEMARK HOLDINGS INC,17243V102,sp600_row_341.csv,3028528896.0
CNM,Core & Main Inc. Class A,21874C102,sp400_row_400.csv,9488247808.0
CNO,CNO Financial Group Inc.,12621E103,sp400_row_400.csv,3801744384.0
CNP,CENTERPOINT ENERGY INC,15189T107,sp500_row_504.csv,28789723136.0
CNS,COHEN + STEERS INC,19247A100,sp600_row_341.csv,3212400384.0
CNX,CNX Resources Corporation,12653C108,sp400_row_400.csv,6000847872.0
CNXC,Concentrix Corporation,20602D101,sp400_row_400.csv,1971693184.0
COF,CAPITAL ONE FINANCIAL CORP,14040H105,sp500_row_504.csv,111817072640.0
COHR,Coherent Corp.,19247G107,sp400_row_400.csv,45513093120.0
COIN,COINBASE GLOBAL INC  CLASS A,19260Q107,sp500_row_504.csv,52726149120.0
COKE,Coca-Cola Consolidated Inc.,191098102,sp400_row_400.csv,14449238016.0
COLB,Columbia Banking System Inc.,197236102,sp400_row_400.csv,7752294400.0
COLL,COLLEGIUM PHARMACEUTICAL INC,19459J104,sp600_row_341.csv,1095485824.0
COLM,Columbia Sportswear Company,198516106,sp400_row_400.csv,2977361408.0
CON,CONCENTRA GROUP HOLDINGS PAR,20603L102,sp600_row_341.csv,2877559552.0
COO,COOPER COS INC/THE,216648501,sp500_row_504.csv,13642398720.0
COP,CONOCOPHILLIPS,20825C104,"dow_row_179.csv, sp500_row_504.csv",148990918656.0
COR,CENCORA INC,03073E105,sp500_row_504.csv,68076015616.0
CORT,CORCEPT THERAPEUTICS INC,218352102,sp600_row_341.csv,3419924736.0
COST,COSTCO WHOLESALE CORP,22160K105,"dow_row_179.csv, sp500_row_504.csv",447432327168.0
COTY,Coty Inc. Class A,222070203,sp400_row_400.csv,1953614080.0
CPAY,CORPAY INC,219948106,sp500_row_504.csv,22213781504.0
CPB,THE CAMPBELL S COMPANY,134429109,sp500_row_504.csv,6472494080.0
