Ticker,Company,Link
PWR,Quanta Services,https://www.macrotrends.net/stocks/charts/PWR/quanta-services
CL,Colgate-Palmolive,https://www.macrotrends.net/stocks/charts/CL/colgate-palmolive
DELL,Dell,https://www.macrotrends.net/stocks/charts/DELL/dell
CI,Cigna Group,https://www.macrotrends.net/stocks/charts/CI/cigna-group
CTAS,Cintas,https://www.macrotrends.net/stocks/charts/CTAS/cintas
ELV,Elevance Health,https://www.macrotrends.net/stocks/charts/ELV/elevance-health
MSI,Motorola Solutions,https://www.macrotrends.net/stocks/charts/MSI/motorola-solutions
NTES,NetEase,https://www.macrotrends.net/stocks/charts/NTES/netease
MCO,Moody's,https://www.macrotrends.net/stocks/charts/MCO/moodys
CSX,CSX,https://www.macrotrends.net/stocks/charts/CSX/csx
SLB,SLB,https://www.macrotrends.net/stocks/charts/SLB/slb
CP,Canadian Pacific Kansas City,https://www.macrotrends.net/stocks/charts/CP/canadian-pacific-kansas-city
ABNB,Airbnb,https://www.macrotrends.net/stocks/charts/ABNB/airbnb
CVNA,Carvana,https://www.macrotrends.net/stocks/charts/CVNA/carvana
GM,General Motors,https://www.macrotrends.net/stocks/charts/GM/general-motors
TDG,Transdigm Group,https://www.macrotrends.net/stocks/charts/TDG/transdigm-group
APO,Apollo Global Management,https://www.macrotrends.net/stocks/charts/APO/apollo-global-management
HLT,Hilton Worldwide Holdings,https://www.macrotrends.net/stocks/charts/HLT/hilton-worldwide-holdings
KMI,Kinder Morgan,https://www.macrotrends.net/stocks/charts/KMI/kinder-morgan
AMX,"America Movil, S.A.B De C.V","https://www.macrotrends.net/stocks/charts/AMX/america-movil,-sab-de-cv"
NSC,Norfolk Southern,https://www.macrotrends.net/stocks/charts/NSC/norfolk-southern
AEP,American Electric Power,https://www.macrotrends.net/stocks/charts/AEP/american-electric-power
COR,Cencora,https://www.macrotrends.net/stocks/charts/COR/cencora
WBD,Warner Bros Discovery,https://www.macrotrends.net/stocks/charts/WBD/warner-bros-discovery
TEL,TE Connectivity,https://www.macrotrends.net/stocks/charts/TEL/te-connectivity
AON,Aon,https://www.macrotrends.net/stocks/charts/AON/aon
DASH,DoorDash,https://www.macrotrends.net/stocks/charts/DASH/doordash
RSG,Republic Services,https://www.macrotrends.net/stocks/charts/RSG/republic-services
NET,Cloudflare,https://www.macrotrends.net/stocks/charts/NET/cloudflare
HOOD,Robinhood Markets,https://www.macrotrends.net/stocks/charts/HOOD/robinhood-markets
PCAR,PACCAR,https://www.macrotrends.net/stocks/charts/PCAR/paccar
SU,Suncor Energy,https://www.macrotrends.net/stocks/charts/SU/suncor-energy-
MRVL,Marvell Technology,https://www.macrotrends.net/stocks/charts/MRVL/marvell-technology
