"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"KNSL","Kinsale Capital Group Inc.","49714P108","BD1MGQ3",0.00247311392976984,"Financials",161596,"USD"
"UMBF","UMB Financial Corporation","902788108","2918510",0.00247166269603069,"Financials",522072,"USD"
"FR","First Industrial Realty Trust Inc.","32054K103","2360757",0.0024645073074557,"Real Estate",968288,"USD"
"PRI","Primerica Inc.","74164M108","B50K3X8",0.00245829925201599,"Financials",233377,"USD"
"UGI","UGI Corporation","902681105","2910118",0.00244794913361245,"Utilities",1571551,"USD"
"COLB","Columbia Banking System Inc.","197236102","2176608",0.00244397839685393,"Financials",2187215,"USD"
"AYI","Acuity Inc.","00508Y102","2818461",0.00242464876968939,"Industrials",222387,"USD"
"MUSA","Murphy USA Inc.","626755102","BCZWJ63",0.00240083442715037,"Consumer Discretionary",124654,"USD"
"SFM","Sprouts Farmers Market Inc.","85208M102","BCGCR79",0.00237401683701228,"Consumer Staples",711973,"USD"
"HLI","Houlihan Lokey Inc. Class A","441593100","BYQ3PM7",0.00235806334389368,"Financials",398619,"USD"
"IDA","IDACORP Inc.","451107106","2296937",0.00235663226617868,"Utilities",395184,"USD"
"AM","Antero Midstream Corp.","03676B102","BJBT0Q4",0.00235591672732118,"Energy",2437811,"USD"
"AMG","Affiliated Managers Group Inc.","008252108","2127899",0.00235250028122693,"Financials",205685,"USD"
"ARWR","Arrowhead Pharmaceuticals Inc.","04280A100","BYQBFJ8",0.00235205684869552,"Health Care",1010959,"USD"
"R","Ryder System Inc.","783549108","2760669",0.00233505524232086,"Industrials",295245,"USD"
"ONB","Old National Bancorp","680033107","2658441",0.00232426169138591,"Financials",2543070,"USD"
"HALO","Halozyme Therapeutics Inc.","40637H109","2975098",0.00231151300610794,"Health Care",859885,"USD"
"AGCO","AGCO Corporation","001084102","2010278",0.00229605333558113,"Industrials",452897,"USD"
"FCFS","FirstCash Holdings Inc.","33768G107","BMF5Q83",0.00229346328647723,"Financials",283987,"USD"
"SSD","Simpson Manufacturing Co. Inc.","829073105","2809250",0.00228684203254234,"Industrials",303156,"USD"
"SEIC","SEI Investments Company","784117103","2793610",0.00227773150962433,"Financials",680422,"USD"
"CYTK","Cytokinetics Incorporated","23282W605","BBBSBJ5",0.00226866129875463,"Health Care",894018,"USD"
"ALV","Autoliv Inc.","052800109","2064253",0.00224173285048368,"Consumer Discretionary",511032,"USD"
"ARW","Arrow Electronics Inc.","042735100","2051404",0.00223864897878798,"Information Technology",376655,"USD"
"STAG","STAG Industrial Inc.","85254J102","B64BRQ5",0.00219693608679942,"Real Estate",1365538,"USD"
"INGR","Ingredion Incorporated","457187102","B7K24P7",0.00218711002502391,"Consumer Staples",464541,"USD"
"WAL","Western Alliance Bancorp","957638109","B0CCGJ4",0.00217450243191502,"Financials",754765,"USD"
"FLR","Fluor Corporation","343412102","2696838",0.00216733696532795,"Industrials",1178594,"USD"
"CHRD","Chord Energy Corporation","674215207","BLDDYB1",0.00216269100176025,"Energy",415802,"USD"
"CELH","Celsius Holdings Inc.","15118V207","B19HX21",0.00215898229331574,"Consumer Staples",1168674,"USD"
"AAL","American Airlines Group Inc.","02376R102","BCV7KT2",0.00215362079089054,"Industrials",4826635,"USD"
"CART","Maplebear Inc.","565394103","BN4L6W3",0.00214315981435415,"Consumer Staples",1343771,"USD"
"CMC","Commercial Metals Company","201723103","2213260",0.00212013155675718,"Materials",811415,"USD"
"NOV","NOV Inc.","62955J103","BN2RYW9",0.00211164587058796,"Energy",2667120,"USD"
"NXST","Nexstar Media Group Inc.","65336K103","2949758",0.00210811856636086,"Communication Services",208443,"USD"
"TEX","Terex Corporation","880779103","2884224",0.00210729216937051,"Industrials",829735,"USD"
"CRUS","Cirrus Logic Inc.","172755100","2197308",0.00209244725758042,"Information Technology",373139,"USD"
"AVAV","AeroVironment Inc.","008073108","B1P5YY8",0.00208466703225663,"Industrials",232634,"USD"
"KEX","Kirby Corporation","497266106","2493534",0.00208196612501988,"Industrials",396319,"USD"
"MIDD","Middleby Corporation","596278101","2590930",0.00207789460814059,"Industrials",338854,"USD"
"ORA","Ormat Technologies Inc.","686688102","B03L311",0.00206881431925881,"Utilities",444447,"USD"
"ACI","Albertsons Companies Inc. Class A","013091103","BYNQ369",0.00206338227074906,"Consumer Staples",2891962,"USD"
"SLAB","Silicon Laboratories Inc.","826919102","2568131",0.00205302207433344,"Information Technology",240225,"USD"
"HQY","HealthEquity Inc","42226A107","BP8XZL1",0.00204601785593961,"Health Care",629987,"USD"
"MSA","MSA Safety Inc.","553498106","BKM4S16",0.00204231922550719,"Industrials",269111,"USD"
"HXL","Hexcel Corporation","428291108","2416779",0.00203473048241287,"Industrials",582092,"USD"
"MTDR","Matador Resources Company","576485205","B7MSLL8",0.00202881468932341,"Energy",854165,"USD"
"FAF","First American Financial Corporation","31847R102","B4NFPK4",0.00199761316393163,"Financials",745107,"USD"
"OLLI","Ollie's Bargain Outlet Holdings Inc","681116109","BZ22B38",0.0019883716268566,"Consumer Discretionary",448304,"USD"
"HR","Healthcare Realty Trust Incorporated Class A","42226K105","BPQWHP8",0.0019823852876826,"Real Estate",2571157,"USD"
"TKR","Timken Company","887389104","2892807",0.00195438857013144,"Industrials",463493,"USD"
"ULS","UL Solutions Inc. Class A","903731107","BPW6WJ3",0.00194861386921107,"Industrials",550266,"USD"
"VOYA","Voya Financial Inc.","929089100","BKWQ2N2",0.00192793378842814,"Financials",695844,"USD"
"JHG","Janus Henderson Group PLC","G4474Y214","BYPZJQ6",0.0019258073278798,"Financials",903639,"USD"
"PB","Prosperity Bancshares Inc.(R)","743606105","2310257",0.00192006286099565,"Financials",694592,"USD"
"LAD","Lithia Motors Inc.","536797103","2515030",0.00191869225135312,"Consumer Discretionary",177316,"USD"
"PLNT","Planet Fitness Inc. Class A","72703H101","BYSFJV8",0.00191857131520819,"Consumer Discretionary",606785,"USD"
"THG","Hanover Insurance Group Inc.","410867105","2020415",0.00191786585436277,"Financials",260195,"USD"
"STWD","Starwood Property Trust Inc.","85571B105","B3PQ520",0.0019001083970823,"Financials",2545435,"USD"
"CBSH","Commerce Bancshares Inc.","200525103","2213204",0.00189900989376586,"Financials",945479,"USD"
"BROS","Dutch Bros Inc. Class A","26701L100","BMWP7H2",0.00189235840579474,"Consumer Discretionary",928866,"USD"
"G","Genpact Limited","G3922B107","B23DBK6",0.00189176380308217,"Industrials",1172466,"USD"
"WFRD","Weatherford International plc","G48833118","BLNN369",0.00188819618680676,"Energy",524498,"USD"
"CRBG","Corebridge Financial Inc.","21871X109","BMTX0G9",0.00188751088198549,"Financials",1954835,"USD"
"GATX","GATX Corporation","361448103","2362128",0.00187585062201188,"Industrials",261040,"USD"
"RGEN","Repligen Corporation","759916109","2731654",0.00186157007889814,"Health Care",386916,"USD"
"GXO","GXO Logistics Inc","36262G101","BNNTGF1",0.00185772027828455,"Industrials",837135,"USD"
"VAL","Valaris Ltd.","G9460G101","BMY0YX0",0.00185700473942705,"Energy",473144,"USD"
"FND","Floor & Decor Holdings Inc. Class A","339750101","BYQHP96",0.00185682333520966,"Consumer Discretionary",787927,"USD"
"H","Hyatt Hotels Corporation Class A","448579102","B5B82X4",0.00185634966864202,"Consumer Discretionary",305784,"USD"
